Merge_scenario, Total_Files, Files_Edited_By_One_Dev, Files_That_Remained_The_Same, Files_Added_By_Ove_Dev, Files_Merged, Files_With_Conflicts, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
rev_0f06a-fcb03, 446, 402, 29, 0, 15, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 177, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_1a6f2-39eb0, 438, 0, 437, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_5919e-46063, 829, 43, 758, 19, 28, 28, 19, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 0, 0, 5, 0, 0, 0, 415, 3, 3, 0, 0, 0, 0, 12, 12, 0, 0, 0
rev_841cb-69850, 664, 189, 465, 7, 10, 10, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_dabb0-4a7fc, 777, 20, 747, 9, 10, 10, 9, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_6d605-e7bf4, 757, 24, 712, 2, 21, 20, 3, 3, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 13, 13, 0, 0, 10, 0, 0, 0, 2, 2, 0, 0, 1, 1, 0, 0, 461, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_2cf68-c044f, 717, 49, 582, 21, 86, 70, 27, 20, 0, 0, 5, 0, 0, 0, 7, 7, 0, 0, 370, 0, 0, 0, 79, 73, 0, 0, 8, 3, 0, 0, 16, 16, 0, 0, 12, 11, 0, 0, 1253, 7, 7, 0, 0, 0, 0, 9, 9, 0, 0, 0
rev_89aa8-d8a67, 762, 14, 747, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_a32a5-1e2e2, 799, 59, 727, 1, 13, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0
rev_82471-02c3a, 789, 4, 752, 31, 33, 32, 34, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 11, 0, 0, 0, 303, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0
rev_6f22f-e89d3, 656, 19, 634, 2, 3, 3, 5, 2, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_00562-0b01c, 648, 82, 548, 4, 18, 12, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 249, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
