=========================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5.revisions
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-watcher/src/test/java/com/squareup/leakcanary/RefWatcherTest.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
static
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-watcher/src/test/java/com/squareup/leakcanary/RefWatcherTest.java
############## CONFLICT ##############
Conflict type: ImplementList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
implements HeapDumper
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-watcher/src/test/java/com/squareup/leakcanary/RefWatcherTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
