File, Total_of_Conflicts, Conflicts_Inside_Methods, Methods_with_Conflicts, Conflicts_Outside_Methods, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
/tmp/downloads/okhttp/revisions/rev_32975_c277c/rev_32975-c277c/okhttp/src/main/java/com/squareup/okhttp/OkResponseCache.java, 12, 6, 6, 6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_32975_c277c/rev_32975-c277c/okhttp/src/main/java/com/squareup/okhttp/HttpResponseCache.java, 108, 37, 37, 71, 4, 4, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 26, 26, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_32975_c277c/rev_32975-c277c/okhttp/src/main/java/com/squareup/okhttp/internal/huc/ResponseCacheAdapter.java, 27, 9, 9, 18, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_32975_c277c/rev_32975-c277c/okhttp/src/main/java/com/squareup/okhttp/internal/huc/CacheAdapter.java, 27, 9, 9, 18, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_32975_c277c/rev_32975-c277c/okhttp/src/main/java/com/squareup/okhttp/internal/InternalCache.java, 15, 6, 6, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_32975_c277c/rev_32975-c277c/okhttp/src/main/java/com/squareup/okhttp/Cache.java, 108, 37, 37, 71, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_32975_c277c/rev_32975-c277c/okhttp-tests/src/test/java/com/squareup/okhttp/HttpResponseCacheTest.java, 223, 143, 143, 80, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 10, 10, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_32975_c277c/rev_32975-c277c/okhttp-tests/src/test/java/com/squareup/okhttp/internal/huc/ResponseCacheAdapterTest.java, 47, 11, 11, 36, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_32975_c277c/rev_32975-c277c/okhttp-tests/src/test/java/com/squareup/okhttp/internal/huc/CacheAdapterTest.java, 47, 11, 11, 36, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_32975_c277c/rev_32975-c277c/okhttp-tests/src/test/java/com/squareup/okhttp/CacheTest.java, 224, 143, 143, 81, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0

