File, Total_of_Conflicts, Conflicts_Inside_Methods, Methods_with_Conflicts, Conflicts_Outside_Methods, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
/tmp/downloads/okhttp/revisions/rev_3c0fa_cc463/rev_3c0fa-cc463/okhttp/src/test/java/com/squareup/okhttp/internal/SslContextBuilder.java, 33, 5, 5, 28, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_3c0fa_cc463/rev_3c0fa-cc463/okhttp/src/test/java/com/squareup/okhttp/internal/spdy/SpdyServer.java, 34, 10, 10, 24, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_3c0fa_cc463/rev_3c0fa-cc463/okhttp/src/test/java/com/squareup/okhttp/internal/spdy/SpdyConnectionTest.java, 78, 38, 38, 40, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_3c0fa_cc463/rev_3c0fa-cc463/okhttp/src/test/java/com/squareup/okhttp/internal/spdy/SettingsTest.java, 19, 5, 5, 14, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_3c0fa_cc463/rev_3c0fa-cc463/okhttp/src/test/java/com/squareup/okhttp/internal/spdy/MockSpdyPeer.java, 74, 21, 21, 53, 3, 3, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 25, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_3c0fa_cc463/rev_3c0fa-cc463/okhttp/src/test/java/com/squareup/okhttp/internal/spdy/HttpOverSpdyTest.java, 67, 18, 18, 49, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_3c0fa_cc463/rev_3c0fa-cc463/okhttp/src/test/java/com/squareup/okhttp/internal/mockspdyserver/MockSpdyServer.java, 64, 16, 16, 48, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_3c0fa_cc463/rev_3c0fa-cc463/okhttp/src/test/java/com/squareup/okhttp/internal/http/HttpOverSpdyTest.java, 66, 18, 18, 48, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_3c0fa_cc463/rev_3c0fa-cc463/okhttp/src/main/java/com/squareup/okhttp/internal/Util.java, 51, 23, 23, 28, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_3c0fa_cc463/rev_3c0fa-cc463/okhttp/src/main/java/com/squareup/okhttp/internal/Platform.java, 89, 27, 27, 62, 6, 6, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 15, 15, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
