File, Total_of_Conflicts, Conflicts_Inside_Methods, Methods_with_Conflicts, Conflicts_Outside_Methods, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
/tmp/downloads/okhttp/revisions/rev_973cc_5ce32/rev_973cc-5ce32/okhttp/src/main/java/com/squareup/okhttp/internal/BitArray.java, 45, 26, 26, 19, 3, 3, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_973cc_5ce32/rev_973cc-5ce32/okhttp/src/main/java/com/squareup/okhttp/internal/spdy/Http20Draft13.java, 124, 48, 48, 76, 5, 5, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 40, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_973cc_5ce32/rev_973cc-5ce32/okhttp/src/main/java/com/squareup/okhttp/internal/spdy/Http20Draft14.java, 125, 50, 50, 75, 5, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_973cc_5ce32/rev_973cc-5ce32/okhttp-tests/src/test/java/com/squareup/okhttp/internal/BitArrayTest.java, 26, 15, 15, 11, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_973cc_5ce32/rev_973cc-5ce32/okhttp-tests/src/test/java/com/squareup/okhttp/internal/spdy/Http20Draft13Test.java, 65, 37, 37, 28, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_973cc_5ce32/rev_973cc-5ce32/okhttp-tests/src/test/java/com/squareup/okhttp/internal/spdy/HpackDraft08Test.java, 77, 56, 56, 21, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_973cc_5ce32/rev_973cc-5ce32/okhttp-tests/src/test/java/com/squareup/okhttp/internal/spdy/Http20Draft14Test.java, 71, 42, 42, 29, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_973cc_5ce32/rev_973cc-5ce32/okhttp-tests/src/test/java/com/squareup/okhttp/internal/spdy/HpackDraft09Test.java, 69, 50, 50, 19, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_973cc_5ce32/rev_973cc-5ce32/okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/HttpOverHttp20Draft13Test.java, 15, 3, 3, 12, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/okhttp/revisions/rev_973cc_5ce32/rev_973cc-5ce32/okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/HttpOverHttp20Draft14Test.java, 15, 3, 3, 12, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

