File, Total_of_Conflicts, Conflicts_Inside_Methods, Methods_with_Conflicts, Conflicts_Outside_Methods, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
/tmp/downloads/Android-Universal-Image-Loader/revisions/rev_b1a2f_07029/rev_base_aa1cd/library/src/com/nostra13/universalimageloader/core/download/BaseImageDownloader.java, 30, 4, 4, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/Android-Universal-Image-Loader/revisions/rev_b1a2f_07029/rev_b1a2f-07029/library/src/com/nostra13/universalimageloader/utils/DiscCacheUtils.java, 9, 3, 3, 6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/Android-Universal-Image-Loader/revisions/rev_b1a2f_07029/rev_b1a2f-07029/library/src/com/nostra13/universalimageloader/utils/DiskCacheUtils.java, 9, 3, 3, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/Android-Universal-Image-Loader/revisions/rev_b1a2f_07029/rev_b1a2f-07029/library/src/com/nostra13/universalimageloader/core/listener/SyncImageLoadingListener.java, 10, 2, 2, 8, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/Android-Universal-Image-Loader/revisions/rev_b1a2f_07029/rev_b1a2f-07029/library/src/com/nostra13/universalimageloader/core/imageaware/ImageNonViewAware.java, 24, 10, 10, 14, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/Android-Universal-Image-Loader/revisions/rev_b1a2f_07029/rev_b1a2f-07029/library/src/com/nostra13/universalimageloader/core/imageaware/ViewAware.java, 30, 12, 12, 18, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
/tmp/downloads/Android-Universal-Image-Loader/revisions/rev_b1a2f_07029/rev_b1a2f-07029/library/src/com/nostra13/universalimageloader/core/imageaware/NonViewAware.java, 24, 10, 10, 14, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/Android-Universal-Image-Loader/revisions/rev_b1a2f_07029/rev_b1a2f-07029/library/src/com/nostra13/universalimageloader/core/download/SlowNetworkImageDownloader.java, 11, 2, 2, 9, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/Android-Universal-Image-Loader/revisions/rev_b1a2f_07029/rev_b1a2f-07029/library/src/com/nostra13/universalimageloader/core/download/NetworkDeniedImageDownloader.java, 10, 2, 2, 8, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/Android-Universal-Image-Loader/revisions/rev_b1a2f_07029/rev_b1a2f-07029/library/src/com/nostra13/universalimageloader/core/download/HttpClientImageDownloader.java, 16, 2, 2, 14, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
