File, Total_of_Conflicts, Conflicts_Inside_Methods, Methods_with_Conflicts, Conflicts_Outside_Methods, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
/tmp/downloads/RxJava/revisions/rev_485c2_35e45/rev_base_0e5a0/rxjava-core/src/main/java/rx/Observable.java, 159, 16, 16, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/RxJava/revisions/rev_485c2_35e45/rev_485c2-35e45/rxjava-core/src/test/java/rx/TimeoutTests.java, 30, 11, 11, 19, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/RxJava/revisions/rev_485c2_35e45/rev_485c2-35e45/rxjava-core/src/test/java/rx/operators/OperationTimeoutTest.java, 20, 6, 6, 14, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/RxJava/revisions/rev_485c2_35e45/rev_485c2-35e45/rxjava-core/src/test/java/rx/operators/OperationFilterTest.java, 13, 1, 1, 12, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/RxJava/revisions/rev_485c2_35e45/rev_485c2-35e45/rxjava-core/src/test/java/rx/operators/OperatorTimeoutWithSelectorTest.java, 37, 9, 9, 28, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/RxJava/revisions/rev_485c2_35e45/rev_485c2-35e45/rxjava-core/src/test/java/rx/operators/OperatorTimeoutTests.java, 42, 12, 12, 30, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/RxJava/revisions/rev_485c2_35e45/rev_485c2-35e45/rxjava-core/src/test/java/rx/operators/OperatorFilterTest.java, 12, 1, 1, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/RxJava/revisions/rev_485c2_35e45/rev_485c2-35e45/rxjava-core/src/test/java/rx/operators/OperationMergeMaxConcurrentTest.java, 32, 5, 5, 27, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/RxJava/revisions/rev_485c2_35e45/rev_485c2-35e45/rxjava-core/src/main/java/rx/operators/OperationTimeout.java, 83, 20, 20, 63, 6, 6, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 18, 18, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
/tmp/downloads/RxJava/revisions/rev_485c2_35e45/rev_485c2-35e45/rxjava-core/src/main/java/rx/operators/OperationFilter.java, 20, 3, 3, 17, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
