Merge_scenario, Total_Files, Files_Edited_By_One_Dev, Files_That_Remained_The_Same, Files_Added_By_Ove_Dev, Files_Merged, Files_With_Conflicts, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
rev_8b970-e8553, 6737, 614, 6097, 18, 26, 18, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_b9f9b-ccb00, 6745, 218, 6522, 4, 5, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_0e5b2-48b4f, 6720, 86, 6627, 5, 7, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_5dd48-c7bdf, 6728, 167, 6550, 5, 11, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_bd9e9-94022, 6639, 1131, 5423, 79, 85, 79, 52, 10, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 25, 0, 0, 26, 0, 0, 0, 1289, 0, 0, 0, 0, 0, 0, 25, 25, 0, 0, 0
rev_93ce3-43d0d, 6723, 146, 6573, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_2c6e7-5e865, 6732, 223, 6489, 12, 20, 14, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_801d1-63b75, 6732, 153, 6564, 11, 15, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_f8e74-ae1a6, 6733, 32, 6698, 2, 3, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 8, 8, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_da199-4ac4f, 6649, 1082, 5473, 79, 94, 80, 57, 11, 0, 0, 2, 0, 0, 0, 8, 0, 0, 0, 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 26, 0, 0, 30, 1, 0, 0, 1385, 0, 0, 0, 0, 0, 0, 26, 26, 0, 0, 0
rev_17a42-4b578, 6703, 157, 6538, 7, 8, 7, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 6, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
rev_ce6ec-e4bed, 6668, 278, 6385, 2, 5, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 27, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_e3503-62569, 6667, 677, 5923, 31, 67, 32, 20, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 7, 7, 0, 0, 14, 0, 0, 0, 372, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0
rev_e7cff-b4db2, 6706, 200, 6487, 13, 19, 13, 13, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 0, 0, 11, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 15, 15, 0, 0, 0
rev_03754-dedc4, 6626, 637, 5908, 78, 81, 80, 67, 4, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 55, 0, 0, 0, 1034, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0
rev_4a752-c0572, 6664, 1110, 5185, 362, 369, 362, 307, 7, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1784, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 301, 301, 0, 0, 281, 0, 0, 0, 4148, 0, 0, 0, 0, 0, 0, 301, 301, 0, 0, 0
rev_20f52-198a7, 6664, 1237, 5054, 370, 373, 370, 514, 204, 0, 0, 0, 0, 0, 0, 22, 6, 0, 0, 3065, 0, 0, 0, 0, 0, 0, 0, 239, 239, 0, 0, 605, 605, 0, 0, 469, 182, 0, 0, 4299, 0, 0, 0, 0, 0, 0, 605, 605, 0, 0, 0
rev_687aa-0b0a2, 6694, 13, 6667, 6, 14, 9, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 4, 4, 0, 0, 4, 1, 0, 0, 97, 1, 1, 0, 0, 0, 0, 3, 3, 0, 0, 0
rev_8321d-d0798, 6641, 412, 6143, 84, 86, 85, 70, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 339, 0, 0, 0, 0, 0, 0, 0, 8, 8, 0, 0, 10, 10, 0, 0, 58, 2, 0, 0, 967, 0, 0, 0, 0, 0, 0, 10, 10, 0, 0, 0
rev_e4031-29e34, 6691, 303, 6374, 4, 14, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_cadd8-82567, 6664, 825, 5469, 338, 370, 341, 296, 7, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1726, 0, 0, 0, 0, 0, 0, 0, 12, 9, 0, 0, 301, 301, 0, 0, 273, 0, 0, 0, 3851, 0, 0, 0, 0, 0, 0, 301, 301, 0, 0, 0
rev_a7053-79820, 6660, 92, 6515, 50, 53, 50, 53, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 0, 0, 43, 0, 0, 0, 661, 0, 0, 0, 0, 0, 0, 19, 19, 0, 0, 0
rev_78534-ba5be, 6624, 158, 6431, 30, 35, 31, 21, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 0, 0, 12, 0, 0, 0, 393, 0, 0, 0, 0, 0, 0, 15, 15, 0, 0, 0
rev_821a2-ba5be, 6671, 666, 5675, 324, 330, 325, 286, 5, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1729, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 299, 299, 0, 0, 267, 1, 0, 0, 3697, 0, 0, 0, 0, 0, 0, 299, 299, 0, 0, 0
