File, Total_of_Conflicts, Conflicts_Inside_Methods, Methods_with_Conflicts, Conflicts_Outside_Methods, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
/tmp/downloads/elasticsearch/revisions/rev_88aa8_eb44e/rev_88aa8-eb44e/src/main/java/org/elasticsearch/search/aggregations/InvalidAggregationPathException.java, 8, 2, 2, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_88aa8_eb44e/rev_88aa8-eb44e/src/main/java/org/elasticsearch/search/aggregations/reducers/SimpleValue.java, 6, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_88aa8_eb44e/rev_88aa8-eb44e/src/main/java/org/elasticsearch/search/aggregations/reducers/ReducerStreams.java, 16, 3, 3, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_88aa8_eb44e/rev_88aa8-eb44e/src/main/java/org/elasticsearch/search/aggregations/reducers/ReducerFactory.java, 21, 8, 8, 13, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_88aa8_eb44e/rev_88aa8-eb44e/src/main/java/org/elasticsearch/search/aggregations/reducers/ReducerBuilders.java, 11, 4, 4, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_88aa8_eb44e/rev_88aa8-eb44e/src/main/java/org/elasticsearch/search/aggregations/reducers/ReducerBuilder.java, 18, 5, 5, 13, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_88aa8_eb44e/rev_88aa8-eb44e/src/main/java/org/elasticsearch/search/aggregations/reducers/Reducer.java, 41, 13, 13, 28, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_88aa8_eb44e/rev_88aa8-eb44e/src/main/java/org/elasticsearch/search/aggregations/reducers/InternalSimpleValue.java, 32, 10, 10, 22, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_88aa8_eb44e/rev_88aa8-eb44e/src/main/java/org/elasticsearch/search/aggregations/reducers/movavg/MovAvgBuilder.java, 22, 7, 7, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_88aa8_eb44e/rev_88aa8-eb44e/src/main/java/org/elasticsearch/search/aggregations/reducers/movavg/models/TransportMovAvgModelModule.java, 12, 3, 3, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
