File, Total_of_Conflicts, Conflicts_Inside_Methods, Methods_with_Conflicts, Conflicts_Outside_Methods, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
/tmp/downloads/elasticsearch/revisions/rev_89e1a_33948/rev_base_980f4/core/src/test/java/org/elasticsearch/discovery/ZenUnicastDiscoveryIT.java, 17, 1, 1, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_89e1a_33948/rev_base_980f4/core/src/main/java/org/elasticsearch/client/transport/TransportClient.java, 68, 16, 16, 52, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_89e1a_33948/rev_89e1a-33948/core/src/test/java/org/elasticsearch/test/SettingsSource.java, 8, 2, 2, 6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_89e1a_33948/rev_89e1a-33948/core/src/test/java/org/elasticsearch/test/NodeConfigurationSource.java, 13, 4, 4, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_89e1a_33948/rev_89e1a-33948/core/src/test/java/org/elasticsearch/plugins/PluginTestCase.java, 13, 1, 1, 12, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_89e1a_33948/rev_89e1a-33948/core/src/test/java/org/elasticsearch/search/basic/SearchWithRandomIOExceptionsIT.java, 27, 1, 1, 26, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_89e1a_33948/rev_89e1a-33948/core/src/test/java/org/elasticsearch/node/MockNode.java, 14, 3, 3, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_89e1a_33948/rev_89e1a-33948/core/src/main/java/org/elasticsearch/plugins/ShardsPluginsModule.java, 8, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_89e1a_33948/rev_89e1a-33948/core/src/main/java/org/elasticsearch/plugins/IndexPluginsModule.java, 8, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_89e1a_33948/rev_89e1a-33948/core/src/main/java/org/elasticsearch/common/inject/SpawnModules.java, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/tmp/downloads/elasticsearch/revisions/rev_89e1a_33948/rev_89e1a-33948/core/src/main/java/org/elasticsearch/common/inject/Modules.java, 7, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

