Merge_scenario, Total_Files, Files_Edited_By_One_Dev, Files_That_Remained_The_Same, Files_Added_By_Ove_Dev, Files_Merged, Files_With_Conflicts, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
rev_d75e4-9564b, 4576, 1, 4573, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_916d5-9f9d9, 4553, 9, 4538, 2, 6, 5, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0, 84, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_d34a8-ad4a3, 4412, 13, 4388, 10, 11, 11, 12, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 25, 0, 0, 2, 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 25, 25, 0, 0, 0
rev_3609d-55a47, 4357, 196, 4142, 15, 19, 17, 17, 4, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 23, 22, 0, 0, 0, 0, 0, 0, 7, 2, 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_18d9d-21ee9, 3578, 506, 2988, 82, 84, 84, 96, 1, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 21, 0, 0, 63, 0, 0, 0, 1400, 0, 0, 0, 0, 0, 0, 21, 21, 0, 0, 0
rev_2ad6b-2c5e1, 4349, 24, 4323, 1, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_ebabd-e4f28, 4265, 330, 3867, 63, 68, 68, 83, 6, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 763, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 42, 42, 0, 0, 55, 2, 0, 0, 1067, 19, 19, 0, 0, 0, 0, 23, 23, 0, 0, 0
rev_1a410-f5dd8, 4263, 28, 4231, 3, 4, 4, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 22, 22, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_5d13a-97c91, 4222, 41, 4166, 14, 15, 15, 20, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 0, 0, 13, 0, 0, 0, 348, 0, 0, 0, 0, 0, 0, 12, 12, 0, 0, 0
rev_b54db-8a84e, 4207, 37, 4169, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 47, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_0bf49-db6a1, 4196, 525, 3663, 5, 8, 8, 11, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 6, 5, 0, 0, 0, 0, 0, 0, 8, 1, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_0cffe-fcb18, 4187, 91, 4001, 92, 95, 95, 162, 12, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 897, 0, 0, 0, 0, 0, 0, 0, 6, 5, 0, 0, 65, 65, 0, 0, 113, 1, 0, 0, 1859, 0, 0, 0, 0, 0, 0, 65, 65, 0, 0, 0
rev_edc04-2873a, 4041, 33, 4006, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_7496e-fcb9c, 4014, 67, 3944, 1, 3, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
